Battery,Car_name,Efficiency,Fast_charge,Range,Top_speed,acceleration..0.100.,Price.USD
75,Tesla Model Y Long Range Dual Motor,172,670,435,217,5,"$64,328.53"
57.5,Tesla Model 3,137,700,420,201,6.1,"$50,379.80"
60.5,BYD ATTO 3,183,370,330,160,7.3,"$48,641.25"
61.7,MG MG4 Electric 64 kWh,171,630,360,160,7.9,"$43,589.10"
75,Tesla Model 3 Long Range Dual Motor,149,780,505,201,4.4,"$60,189.80"
57.5,Tesla Model Y,164,580,350,217,6.9,"$51,848.03"
71,BMW iX xDrive40,197,480,360,200,6.1,"$84,257.00"
64,Volvo EX30 Single Motor ER,173,550,370,180,5.3,"$45,551.10"
44,Citroen e-C3,176,320,250,135,11,"$25,397.00"
82.5,BYD SEAL 82.5 kWh AWD Excellence,170,530,485,180,3.8,"$58,498.12"
80.7,BMW i4 eDrive40,157,800,515,190,5.7,"$64,528.00"
60,Renault Megane E-Tech EV60 220hp,158,530,380,160,7.4,"$50,794.00"
64.7,BMW iX1 xDrive30,170,550,380,180,5.6,"$59,950.00"
64,Hyundai Kona Electric 64 kWh,164,370,390,167,7.9,"$46,761.00"
75,Tesla Model Y Performance,181,640,415,250,3.7,"$69,397.03"
64.8,Kia Niro EV,168,390,385,167,7.8,"$49,802.10"
100,Rolls-Royce Spectre,220,540,455,250,4.5,NA
95,Tesla Model S Plaid,170,780,560,282,2.1,"$120,957.30"
74,BMW iX3,192,520,385,180,6.8,"$73,357.00"
90,Hongqi E-HS9 99 kWh,243,430,370,200,4.9,NA
37.3,Fiat 500e Hatchback 42 kWh,159,390,235,150,9,"$38,139.10"
85.4,BYD HAN,180,450,475,180,3.9,"$77,177.45"
95,Tesla Model S Dual Motor,165,800,575,250,3.2,"$104,607.30"
60.5,BYD DOLPHIN 60.4 kWh,178,340,340,160,7,"$39,229.10"
58,CUPRA Born 150 kW - 58 kWh,166,470,350,160,7.3,"$42,913.30"
25,Dacia Spring Electric 45,152,180,165,125,19.1,"$24,579.50"
81.2,BMW i5 eDrive40 Sedan,171,710,475,193,6,"$76,518.00"
80.7,BMW i4 M50,179,700,450,225,3.9,"$77,172.00"
50.8,Opel Astra Electric,167,490,305,170,9.2,"$45,769.10"
68.3,MG ZS EV Long Range,185,420,370,175,8.4,"$41,409.10"
76.6,Audi Q4 e-tron 40,189,630,405,160,8.5,NA
101.7,BMW i7 xDrive60,199,760,510,240,4.7,"$152,491.00"
64,Toyota bZ4X FWD,188,510,340,160,7.5,"$51,764.10"
49,Volvo EX30 Single Motor,175,430,280,180,5.7,"$39,883.10"
62,Smart #1,185,520,335,180,6.7,"$46,314.10"
74,Kia EV6 Long Range 2WD,180,1070,410,185,7.3,"$56,669.10"
77,Volkswagen ID.7 Pro,162,710,475,180,6.5,"$62,124.55"
105.2,BMW iX xDrive50,208,680,505,200,4.6,"$109,109.00"
106,Audi Q8 e-tron 55 quattro,210,640,505,200,5.6,"$92,977.00"
50.8,MG MG4 Electric 51 kWh,169,390,300,160,7.7,"$38,139.10"
73,Peugeot e-3008 73 kWh,183,460,400,180,7,NA
82.5,BYD SEAL 82.5 kWh RWD Design,165,550,500,180,5.9,"$51,860.02"
77,Skoda Enyaq 85,169,680,455,180,6.7,"$53,301.00"
65.4,Hyundai Kona Electric 65 kWh,168,400,390,170,8.8,"$51,437.10"
58,Volkswagen ID.3 Pro,166,450,350,160,7.3,"$43,594.55"
52,Renault Zoe ZE50 R110,165,230,315,135,11.4,"$40,155.60"
96,Kia EV9 99.8 kWh AWD,226,740,425,200,6,"$83,374.10"
46.3,Peugeot e-208,162,460,285,150,8.1,"$42,619.00"
85,Audi e-tron GT RS,210,1000,405,250,3.3,"$159,194.50"
21.3,Renault Twingo Electric,158,NA,135,135,12.6,"$30,520.00"
77,CUPRA Born 170 kW - 77 kWh,171,630,450,160,7,"$50,630.50"
86.4,BYD TANG,240,330,360,180,4.6,"$77,826.00"
28.9,Mini Cooper SE,161,260,180,150,7.3,"$38,913.00"
67,BMW i4 eDrive35,156,580,430,190,6,"$61,585.00"
74,Hyundai IONIQ 6 Long Range AWD,168,1150,440,185,5.1,"$66,599.00"
74,Kia EV6 GT,206,940,360,260,3.5,"$79,559.10"
74,Hyundai IONIQ 6 Long Range 2WD,149,1290,495,185,7.4,"$58,860.00"
50.8,Jeep Avenger Electric,164,500,310,150,9,"$40,330.00"
87,Nissan Ariya 87kWh,193,540,450,160,7.6,"$64,299.10"
39,Nissan Leaf,166,230,235,144,7.9,"$36,406.00"
77,Volkswagen ID. Buzz Pro,223,480,345,145,10.2,"$70,393.29"
70.5,Mercedes EQA 250+,168,580,420,160,8.6,NA
77,Volkswagen ID.4 Pro,177,650,435,180,6.7,"$50,505.15"
46.3,Opel Corsa-e,157,470,295,150,8.1,NA
94,Zeekr 001 Performance AWD,186,700,505,200,3.8,"$69,727.30"
46.3,Citroen e-C4,160,460,290,150,9.7,"$39,283.60"
94,Polestar 4 Long Range Dual Motor,202,690,465,200,3.8,NA
118,Lucid Air Dream Edition R,172,870,685,270,2.9,"$237,620.00"
74.4,MG MG4 Electric 77 kWh,175,430,425,180,6.5,"$50,129.10"
98,Peugeot e-3008 98 kWh Long Range,188,680,520,180,7,NA
80,Hyundai IONIQ 5 N,208,950,385,260,3.4,NA
74,Hyundai IONIQ 5 Long Range 2WD,190,1020,390,185,7.3,"$52,211.00"
57.5,Tesla Model Y,164,810,350,217,6.9,"$51,848.03"
61.9,Honda e:Ny1,185,300,335,160,7.6,"$51,873.10"
44.9,BYD DOLPHIN 44.9 kWh Active,176,260,255,150,10,"$32,689.10"
109,Lotus Eletre,220,1040,495,250,4.5,"$104,629.10"
79,Polestar 2 Long Range Single Motor,168,700,470,205,6.2,"$59,377.75"
64,Volvo EX30 Twin Motor Performance,178,540,360,180,3.6,"$52,854.10"
64.7,BMW iX1 eDrive20,166,560,390,170,8.3,"$52,211.00"
54,Hyundai IONIQ 6 Standard Range 2WD,148,900,365,185,8.8,"$47,851.00"
86,Volkswagen ID.7 Pro S,165,800,520,180,7,NA
46.3,Opel Mokka-e,178,420,260,150,9.2,"$44,308.50"
66.5,Mercedes EQB 350 4MATIC,196,490,340,160,6.2,NA
61.7,MG MG4 Electric XPOWER,193,560,320,200,3.8,"$51,219.10"
62,Smart #1 Brabus,197,490,315,180,3.9,"$53,399.10"
64,Subaru Solterra AWD,200,480,320,160,6.9,"$62,664.10"
108.4,Mercedes EQS 450+,171,950,635,210,6.1,"$119,410.59"
106.5,Fisker Ocean One,201,630,530,205,3.9,"$76,245.50"
79,Volvo XC40 Recharge Single Motor ER,195,600,405,180,7.3,"$57,770.00"
94,Zeekr 001 Long Range RWD,177,740,530,200,7.2,"$66,457.30"
77,Skoda Enyaq Coupe 85,159,720,485,180,6.7,"$55,753.50"
81.2,BMW i5 M60 xDrive Sedan,191,630,425,230,3.8,"$108,455.00"
85,Audi e-tron GT quattro,202,1030,420,245,4.1,"$115,594.50"
74,Kia EV6 Long Range AWD,185,1050,400,185,5.2,"$61,018.20"
57.4,MG MG5 Electric Long Range,171,330,335,185,7.7,"$41,954.10"
30,Mazda MX-30,176,210,170,140,9.7,"$39,229.10"
94,Polestar 4 Long Range Single Motor,190,740,495,180,7.4,NA
84,Maxus MIFA 9,230,330,365,180,9.2,"$75,199.10"
39.2,Hyundai Kona Electric 39 kWh,160,210,245,155,9.9,"$39,676.00"
106.5,Fisker Ocean Ultra,199,640,535,200,4.2,"$62,130.00"
52,Renault Zoe ZE50 R135,168,230,310,140,9.5,"$41,245.60"
96,Kia EV9 99.8 kWh RWD,213,780,450,185,9.4,"$79,014.10"
64,Lexus RZ 450e,200,480,320,160,5.6,"$74,120.00"
95,Tesla Model X Dual Motor,200,660,475,250,3.9,"$110,057.30"
70.5,Mercedes EQB 250+,170,560,415,160,8.9,"$58,330.26"
74,Hyundai IONIQ 5 Long Range AWD,192,1010,385,185,5.1,"$64,528.00"
50.8,Peugeot e-308,169,450,300,170,9.8,"$48,793.85"
95,Tesla Model X Plaid,209,630,455,262,2.6,"$126,407.30"
79,Volvo XC40 Recharge Twin Motor,203,580,390,180,4.8,"$65,345.50"
54,Hyundai IONIQ 5 Standard Range 2WD,183,720,295,185,8.5,"$47,851.00"
77,Volkswagen ID.5 Pro,169,680,455,180,6.7,"$53,377.30"
66.5,Mercedes EQB 300 4MATIC,196,490,340,160,8,NA
106,Audi Q8 e-tron Sportback 55 quattro,202,660,525,200,5.6,"$95,429.50"
64.7,BMW iX2 xDrive30,170,550,380,180,5.6,"$61,585.00"
77,Audi Q4 e-tron 45,183,630,420,180,6.7,"$57,715.50"
64,Zeekr X Privilege AWD,183,520,350,180,3.8,"$55,012.30"
105.2,BMW iX M60,217,650,485,250,3.8,"$148,349.00"
50.8,Fiat 600e,167,490,305,150,9,"$39,774.10"
62,Smart #3,175,550,355,180,6.7,"$47,404.10"
70,MG Marvel R,192,400,365,200,7.9,"$51,219.10"
59,Nissan Leaf e+,174,240,340,157,6.9,"$44,799.00"
79,Polestar 2 Long Range Dual Motor,176,670,450,205,4.5,"$64,064.75"
25,Dacia Spring Electric 65 Extreme,156,170,160,125,13.7,"$26,759.50"
90.6,Mercedes EQE 350+,171,790,530,210,6.4,NA
77,Volkswagen ID.3 Pro S - 4 Seats,169,680,455,160,7.9,"$51,878.55"
108.4,Mercedes EQS SUV 580 4MATIC,224,720,485,210,4.6,"$147,623.06"
96,Kia EV9 99.8 kWh AWD GT-Line,231,720,415,200,5.3,"$89,794.20"
60,Renault Megane E-Tech EV60 130hp,158,530,380,150,10.5,"$51,230.00"
58,Skoda Enyaq 60,171,460,340,160,8.7,"$48,178.00"
46.3,Citroen e-C4 X,162,460,285,150,9.7,"$40,918.60"
91,Ford Mustang Mach-E ER RWD,190,420,480,180,7,"$63,765.00"
112,Lucid Air Grand Touring,168,840,665,270,3,"$173,310.00"
66,Volvo XC40 Recharge Single Motor,191,420,345,180,7.3,"$51,775.00"
67,Polestar 2 Standard Range Single Motor,165,480,405,205,6.4,"$55,344.75"
50.8,Peugeot e-2008 54 kWh,169,480,300,150,9.1,"$43,654.50"
75.8,XPENG G9 RWD Standard Range,190,840,400,200,6.4,NA
45.4,ORA Funky Cat 48 kWh,175,240,260,160,8.3,"$42,499.10"
76.6,Audi Q4 e-tron 50 quattro,199,550,385,180,6.2,NA
76.5,Hongqi E-HS9 84 kWh,239,440,320,200,6.5,NA
107,Polestar 3 Long Range Dual motor,218,640,490,210,5,"$96,574.00"
70,MG Marvel R Performance,200,380,350,200,4.9,"$55,579.10"
49,MG ZS EV Standard Range,185,250,265,175,8.6,"$37,049.10"
77,CUPRA Tavascan VZ,179,640,430,180,5.6,NA
64,Toyota bZ4X AWD,203,470,315,160,6.9,"$62,555.10"
89,Audi Q8 e-tron 50 quattro,209,660,425,200,6,"$81,096.00"
63,Nissan Ariya 63kWh,188,450,335,160,7.5,"$51,764.10"
54,Kia EV6 Standard Range 2WD,177,750,305,185,8.5,"$51,219.10"
118,Lucid Air Dream Edition P,177,840,665,270,2.7,"$237,620.00"
107,Volvo EX90 Twin Motor,230,610,465,180,5.9,"$115,049.50"
66.5,Mercedes EQA 250,164,580,405,160,8.6,"$55,346.93"
90,Mercedes EQV 300 Long,290,310,310,160,12.1,"$78,072.34"
70.5,NIO ET7 75 kWh,176,540,400,200,3.8,"$89,271.00"
91,Ford Mustang Mach-E ER AWD,204,390,445,180,5.8,"$71,831.00"
52,Volkswagen ID.4 Pure,182,360,285,160,9,"$43,965.15"
123,VinFast VF 9 Extended Range,237,520,520,200,6.5,"$97,871.10"
90,NIO ET5 100 kWh,180,520,500,200,4,"$74,665.00"
77,Skoda Enyaq 85x,175,660,440,180,6.6,"$55,753.50"
93.1,XPENG G9 RWD Long Range,190,1020,490,200,6.4,NA
79,Volvo C40 Recharge Twin Motor,198,600,400,180,4.7,"$66,926.00"
75,Fisker Ocean Sport,197,480,380,160,7.4,"$45,300.40"
96,Mercedes EQE SUV 500 4MATIC,211,630,455,210,4.9,"$108,826.69"
49,Mini Cooper SE,158,440,310,170,6.7,"$40,221.00"
72.6,Ford Mustang Mach-E SR RWD,191,460,380,180,7.3,"$60,822.00"
79,Volvo C40 Recharge Single Motor ER,188,630,420,180,7.3,"$59,350.50"
84.7,Jaguar I-Pace EV400,223,360,380,200,4.8,"$100,716.00"
77,Skoda Enyaq Coupe RS,169,680,455,180,5.5,"$68,997.00"
82.7,XPENG P7 Wing Edition,178,650,465,200,4.1,NA
106.5,Fisker Ocean Extreme,201,630,530,205,3.9,"$76,245.50"
89,Mercedes EQE 300,170,660,525,210,7.3,"$73,233.83"
28.5,Honda e Advance,168,180,170,145,8.3,"$43,491.00"
109,Lotus Eletre R,240,950,455,260,2.9,"$164,579.10"
62,Smart #3 Brabus,188,510,330,180,3.7,"$55,579.10"
50.8,Peugeot e-308 SW,169,450,300,150,9,"$49,883.85"
89,Mercedes EQE SUV 350 4MATIC,209,540,425,210,6.6,NA
108.4,Mercedes EQS SUV 450+,217,750,500,210,6.7,"$120,773.09"
44.9,BYD DOLPHIN 44.9 kWh Boost,176,260,255,160,8,"$35,686.60"
48.1,Opel Corsa Electric 51 kWh,153,490,315,150,8.1,"$41,469.05"
56,SsangYong Korando e-Motion,193,330,290,156,8.5,"$44,134.10"
77,Volkswagen ID.4 Pro 4MOTION,181,630,425,180,6.6,"$53,431.80"
66.5,Mercedes EQA 350 4MATIC,190,500,350,160,6,NA
40,Renault Megane E-Tech EV40 130hp,154,370,260,150,10,"$45,780.00"
47,Smart #1 Pro,184,330,255,180,6.7,"$40,864.10"
50.8,Citroen e-C4 54 kWh,154,470,330,150,10,"$45,278.60"
92,Lucid Air Touring,159,970,580,250,3.2,"$140,610.00"
77,CUPRA Tavascan Endurance,171,670,450,180,6.8,NA
107,Volvo EX90 Twin Motor Performance,238,590,450,180,4.9,"$120,608.50"
46.3,Peugeot e-2008 50 kWh,171,430,270,150,9.9,NA
77,Volkswagen ID.4 GTX,183,630,420,180,5.4,"$58,047.95"
66.5,Mercedes EQA 350 4MATIC,187,510,355,160,6,"$61,502.16"
77,Skoda Enyaq Coupe 85x,164,700,470,180,6.6,"$58,206.00"
70.5,Mercedes EQA 250+,164,600,430,160,8.6,"$56,903.45"
74,Genesis GV60 Premium,190,1020,390,185,7.8,NA
108.4,Mercedes EQS 580 4MATIC,184,880,590,210,4.3,"$154,458.45"
45,Renault Kangoo E-Tech Electric,205,230,220,132,12.6,"$42,837.00"
48.1,Peugeot e-208 51 kWh,155,480,310,150,8.2,"$40,084.75"
60,Aiways U5,190,380,315,150,7.5,"$43,123.67"
48.4,Hyundai Kona Electric 48 kWh,167,280,290,160,7.8,"$45,769.10"
77,Audi Q4 e-tron 55 quattro,195,590,395,180,5.4,"$64,310.00"
93.1,XPENG G9 AWD Performance,196,990,475,200,3.9,NA
76.6,Audi Q4 Sportback e-tron 40,180,660,425,160,8.5,NA
90,NIO ET7 100 kWh,178,530,505,200,3.8,"$99,081.00"
66.5,Mercedes EQA 300 4MATIC,190,500,350,160,7.7,NA
77,Audi Q4 Sportback e-tron 45,177,650,435,180,6.7,"$59,895.50"
90.6,Mercedes EQE SUV 500 4MATIC,208,650,435,210,4.9,NA
64,Kia e-Soul 64 kWh,173,350,370,167,7.9,"$51,175.50"
101.7,BMW i7 eDrive50,196,780,520,205,5.5,"$126,113.00"
106,Audi SQ8 e-tron,233,570,455,210,4.5,"$104,422.00"
83.7,Porsche Taycan GTS,186,1110,450,250,3.7,"$152,497.54"
82.7,XPENG P7 RWD Long Range,167,690,495,200,6.7,NA
83.7,Porsche Taycan Plus,173,1190,485,230,5.4,"$107,760.67"
101.7,BMW i7 M70 xDrive,208,730,490,250,3.7,"$198,162.00"
50.8,Opel Astra Sports Tourer Electric,169,480,300,170,9.3,"$47,404.10"
66,Volvo C40 Recharge Single Motor,186,430,355,180,7.3,"$51,775.00"
92,Lucid Air Pure AWD,156,990,590,200,4.2,"$118,810.00"
77,Volkswagen ID.5 GTX,179,640,430,180,5.5,"$61,535.95"
83,Maserati GranTurismo Folgore,195,990,425,320,2.7,NA
64.7,Mini Countryman E,170,550,380,170,8.6,NA
21.3,Fiat 500e Hatchback 24 kWh,158,230,135,135,9,"$33,779.10"
46.3,Opel Corsa Electric 50 kWh,157,470,295,150,8.7,"$37,768.50"
107,Polestar 3 Long Range Performance,228,610,470,210,4.7,"$103,768.00"
46.3,Citroen e-Berlingo M 50 kWh,226,330,205,135,11.7,"$41,191.10"
90,Mercedes eVito Tourer Long 90 kWh,290,310,310,160,12,"$70,030.32"
87,Nissan Ariya e-4ORCE 87kWh - 225 kW,215,480,405,200,5.7,"$67,569.10"
90,NIO EL6 100 kWh,205,460,440,200,4.5,"$81,205.00"
50.8,Citroen e-C4 X 54 kWh,154,470,330,150,10,"$45,278.60"
50.8,DS 3 E-Tense,169,480,300,150,9,"$44,188.60"
108.4,Mercedes EQS 450 4MATIC,178,910,610,210,5.6,"$123,561.31"
51,Seres 3,196,240,260,155,8.9,NA
46,MG MG5 Electric Standard Range,174,320,265,185,7.7,"$38,684.10"
96,Mercedes EQE SUV 350+,202,660,475,210,6.9,"$94,623.99"
89,Mercedes EQE 350 4MATIC,176,640,505,210,6.3,"$80,822.41"
83.7,Porsche Taycan Turbo S,195,1060,430,260,2.8,"$215,536.60"
46.3,Peugeot e-Rifter Long 50 kWh,232,320,200,135,11.7,"$46,259.60"
90,NIO EL7 100 kWh,209,450,430,200,3.9,"$103,441.00"
91,Ford Mustang Mach-E GT,214,380,425,200,3.7,"$84,257.00"
64.7,Mini Countryman SE ALL4,175,530,370,180,5.6,NA
64,Zeekr X Long Range RWD,178,540,360,180,5.6,"$50,107.30"
95,Maserati Grecale Folgore,235,440,405,220,4.1,NA
94,Zeekr 001 Privilege AWD,188,700,500,200,3.8,"$75,177.30"
90,NIO ET5 Touring 100 kWh,186,500,485,200,4,"$74,665.00"
79,Polestar 2 Long Range Performance,176,670,450,205,4.2,"$71,149.75"
66.5,Mercedes EQB 300 4MATIC,193,500,345,160,8,"$60,515.71"
101,Volvo EX90 Single Motor,220,600,460,180,8.4,NA
45,Nissan Townstar EV Passenger,200,230,225,132,12.6,"$43,589.10"
59.3,ORA Funky Cat 63 kWh,174,240,340,160,8.2,"$48,494.10"
89,Mercedes EQE 350,173,650,515,210,6.4,"$77,384.55"
89,Audi Q8 e-tron Sportback 50 quattro,200,690,445,200,6,"$83,548.50"
37.3,Fiat 500e 3+1 42 kWh,159,390,235,150,9,"$40,319.10"
77,Audi Q4 e-tron 45 quattro,195,590,395,180,6.6,"$59,895.50"
70.5,NIO ET5 75 kWh,178,530,395,200,4,"$64,855.00"
37,Mini Cooper E,157,360,235,160,7.3,NA
74,Genesis GV70 Electrified Sport,211,860,350,235,4.2,"$73,357.00"
66.5,Mercedes EQB 350 4MATIC,193,500,345,160,6.2,"$63,434.73"
73,Peugeot e-3008 73 kWh Dual Motor,190,440,385,180,6,NA
108.4,Mercedes EQS AMG 53 4MATIC+,203,800,535,250,3.4,"$168,959.81"
70.5,NIO ET5 Touring 75 kWh,183,520,385,200,4,"$64,855.00"
90.6,Mercedes EQE SUV 350 4MATIC,208,550,435,210,6.6,"$97,607.32"
77,Audi Q4 Sportback e-tron 55 quattro,186,620,415,180,5.4,"$66,490.00"
77,Skoda Enyaq RS,177,650,435,180,5.5,"$66,544.50"
82.5,Genesis G80 Electrified Luxury,188,880,440,225,4.9,"$75,428.00"
58,CUPRA Born 170 kW - 58 kWh,168,460,345,160,6.6,"$44,417.50"
71,Porsche Taycan,169,1030,420,230,5.4,"$101,521.51"
108.4,Mercedes EQS SUV 500 4MATIC,221,730,490,210,5.2,"$135,754.05"
46.3,Peugeot e-208 50 kWh,160,460,290,150,9,NA
27,e.Go e.wave X,180,NA,150,135,12,"$27,239.10"
45,Mercedes EQT 200 Standard,200,230,225,132,12.6,"$53,895.05"
72.6,Ford Mustang Mach-E SR AWD,207,430,350,180,6.2,NA
64,Lexus UX 300e,188,170,340,160,7.5,NA
108.4,Mercedes EQS 500 4MATIC,184,880,590,210,4.8,"$136,662.02"
83.7,Porsche Taycan 4S Plus,174,1180,480,250,4,"$130,888.29"
90.6,Mercedes EQE 500 4MATIC,179,750,505,210,4.7,"$96,154.35"
83.7,Porsche Taycan 4 Cross Turismo,190,1080,440,220,5.1,"$112,546.86"
81,Elaris BEO 86 kWh,208,290,390,150,8,"$57,868.10"
108.4,Mercedes EQS SUV 450 4MATIC,221,730,490,210,6,"$124,923.81"
87,Nissan Ariya e-4ORCE 87kWh - 290 kW,215,480,405,200,5.1,"$77,924.10"
68,Opel Vivaro-e Combi M 75 kWh,257,290,265,130,13.3,"$62,066.78"
76.6,Audi Q4 Sportback e-tron 50 quattro,192,570,400,180,6.2,NA
59.3,ORA Funky Cat GT,180,230,330,160,8.2,"$53,944.10"
90.6,Mercedes EQE SUV 300,201,570,450,210,7.6,"$90,992.11"
106,Audi SQ8 e-tron Sportback,221,610,480,210,4.5,"$106,874.50"
77,Audi Q4 Sportback e-tron 45 quattro,186,620,415,180,6.6,"$62,075.50"
82.7,XPENG P7 AWD Performance,180,640,460,200,4.1,NA
62,Smart #1 Pulse,194,490,320,180,3.9,"$50,674.10"
46.3,Toyota Proace City Verso Electric L1 50 kWh,220,330,210,135,11.2,"$41,202.00"
58,Skoda Enyaq Coupe 60,163,480,355,160,8.8,NA
37.3,Fiat 500e Cabrio 42 kWh,162,380,230,150,9,"$41,409.10"
90.6,Mercedes EQE SUV AMG 43 4MATIC,218,620,415,210,4.3,"$136,162.80"
68,Toyota PROACE Verso M 75 kWh,257,290,265,130,13.1,"$70,337.70"
46.3,Toyota Proace City Verso Electric L2 50 kWh,226,330,205,135,11.2,"$43,763.50"
71,Porsche Taycan 4S,171,1020,415,250,4,"$124,869.31"
87.7,VinFast VF 8 Eco Extended Range,206,550,425,200,5.9,"$57,759.10"
90.6,Mercedes EQE AMG 43 4MATIC,195,690,465,210,4.2,"$114,184.04"
66.5,Mercedes EQA 300 4MATIC,187,510,355,160,7.7,"$58,336.80"
21.3,Fiat 500e 3+1 24 kWh,158,230,135,135,9,NA
46.3,Citroen e-SpaceTourer M 50 kWh,250,290,185,130,12.1,"$58,467.60"
37.8,Abarth 500e Hatchback,168,370,225,155,7,"$41,409.10"
90.6,Mercedes EQE SUV AMG 53 4MATIC+,221,610,410,240,3.5,"$151,987.42"
68,Opel Zafira-e Life L 75 kWh,262,280,260,130,13.3,"$76,381.75"
60,Aiways U6,171,430,350,160,7,"$51,870.92"
68,Toyota PROACE Verso L 75 kWh,262,280,260,130,13.1,"$71,269.65"
70.5,NIO EL6 75 kWh,201,470,350,200,4.5,"$71,395.00"
39.2,Kia e-Soul 39.2 kWh,170,200,230,157,9.9,NA
46.3,Opel Combo-e Life 50 kWh,226,330,205,135,11.7,"$46,924.50"
68,Citroen e-Jumpy Combi M 75 kWh,257,290,265,130,13.3,"$63,154.60"
90.6,Mercedes EQE AMG 53 4MATIC+,195,690,465,220,3.5,"$120,669.54"
90,Mercedes eVito Tourer Extra-Long 90 kWh,295,310,305,160,12,"$71,002.60"
83.7,Porsche Taycan Turbo,188,1090,445,260,3.2,"$179,217.80"
68,Peugeot e-Expert Combi Standard 75 kWh,257,290,265,130,14.3,"$63,154.60"
46.3,Peugeot e-Rifter Standard 50 kWh,226,330,205,135,11.7,"$44,951.60"
68,Peugeot e-Traveller Long 75 kWh,262,280,260,130,14.3,"$65,868.70"
74,Genesis GV60 Sport,195,990,380,200,5.5,"$68,888.00"
83.7,Porsche Taycan 4S Cross Turismo,190,1080,440,240,4.1,"$130,706.26"
87.7,VinFast VF 8 Plus Extended Range,206,550,425,200,5.5,"$64,190.10"
71,Porsche Taycan Sport Turismo,187,930,380,230,5.4,"$102,559.19"
60,Mercedes EQV 250 Long,286,200,210,160,12,"$74,181.04"
90,Mercedes EQV 300 Extra-Long,290,310,310,160,12.1,"$79,045.71"
60,Mercedes eVito Tourer Long 60 kWh,286,310,210,160,12,"$66,139.02"
37.8,Abarth 500e Convertible,168,370,225,155,7,"$44,679.10"
74,Genesis GV60 Sport Plus,203,950,365,235,4,"$79,679.00"
28.9,Mini Cooper SE Convertible,175,230,165,150,8.2,NA
68,Citroen e-SpaceTourer M 75 kWh,257,290,265,130,13.3,"$65,007.60"
70.5,NIO EL7 75 kWh,207,460,340,200,3.9,"$93,631.00"
68,Peugeot e-Traveller Standard 75 kWh,257,290,265,130,14.3,"$65,007.60"
46.3,Peugeot e-Traveller Standard 50 kWh,250,290,185,130,13.1,"$58,467.60"
83.7,Porsche Taycan GTS Sport Turismo,197,1050,425,250,3.7,"$153,535.22"
83.7,Porsche Taycan Turbo Cross Turismo,197,1050,425,250,3.3,"$180,774.32"
68,Peugeot e-Expert Combi Long 75 kWh,262,280,260,130,14.3,"$64,015.70"
68,Fiat E-Ulysse L3 75 kWh,262,280,260,130,13.3,"$68,659.10"
46.3,Citroen e-SpaceTourer XL 50 kWh,257,290,180,130,12.1,"$59,328.70"
83.7,Porsche Taycan Turbo S Cross Turismo,204,1010,410,250,2.9,"$217,093.12"
46.3,Citroen e-Berlingo XL 50 kWh,226,330,205,135,11.7,"$47,567.60"
21.3,Fiat 500e Cabrio 24 kWh,158,230,135,135,9,"$38,684.10"
83.7,Porsche Taycan Plus Sport Turismo,188,1090,445,230,5.4,"$108,798.35"
68,Toyota PROACE Shuttle M 75 kWh,257,290,265,130,13.1,NA
46.3,Toyota PROACE Shuttle L 50 kWh,257,290,180,130,12.1,NA
83.7,Porsche Taycan Turbo S Sport Turismo,212,970,395,260,2.8,"$216,574.28"
68,Citroen e-SpaceTourer XL 75 kWh,262,280,260,130,13.3,"$65,868.70"
46.3,Citroen e-Jumpy Combi M 50 kWh,250,290,185,130,12.1,"$56,614.60"
46.3,Opel Zafira-e Life M 50 kWh,250,290,185,130,12.1,"$68,942.50"
68,Toyota PROACE Shuttle L 75 kWh,262,280,260,130,13.1,NA
68,Citroen e-Jumpy Combi XL 75 kWh,262,280,260,130,13.3,"$64,015.70"
83.7,Porsche Taycan 4S Plus Sport Turismo,195,1060,430,250,4,"$130,888.29"
46.3,Opel Combo-e Life XL 50 kWh,232,320,200,135,11.7,"$48,777.50"
46.3,Toyota PROACE Shuttle M 50 kWh,250,290,185,130,12.1,NA
71,Porsche Taycan 4S Sport Turismo,192,910,370,250,4,"$124,869.31"
46.3,Peugeot e-Expert Combi Standard 50 kWh,250,290,185,130,13.1,"$56,614.60"
60,Mercedes eVito Tourer Extra-Long 60 kWh,293,300,205,160,12,"$67,112.39"
46.3,Peugeot e-Traveller Long 50 kWh,250,290,185,130,13.1,"$59,328.70"
68,Fiat E-Ulysse L2 75 kWh,257,290,265,130,13.3,"$67,569.10"
83.7,Porsche Taycan Turbo Sport Turismo,207,1000,405,260,3.2,"$180,255.48"
60,Mercedes EQV 250 Extra-Long,286,200,210,160,12,"$75,154.41"
68,Opel Vivaro-e Combi L 75 kWh,262,280,260,130,13.3,"$62,974.75"
46.3,Opel Vivaro-e Combi M 50 kWh,250,290,185,130,12.1,"$55,581.28"
46.3,Opel Zafira-e Life L 50 kWh,257,290,180,130,12.1,"$69,841.75"
46.3,Peugeot e-Expert Combi Long 50 kWh,250,290,185,130,13.1,"$57,475.70"
46.3,Citroen e-Jumpy Combi XL 50 kWh,257,290,180,130,12.1,"$57,475.70"
46.3,Fiat E-Ulysse L2 50 kWh,250,290,185,130,12.1,"$61,029.10"
46.3,Opel Vivaro-e Combi L 50 kWh,257,290,180,130,12.1,"$56,489.25"
68,Opel Zafira-e Life M 75 kWh,257,290,265,130,13.3,"$75,482.50"
46.3,Fiat E-Ulysse L3 50 kWh,257,290,180,130,12.1,"$62,119.10"
